Lens ID,Title,Date Published,Publication Year,Publication Type,Source Title,ISSNs,Publisher,Source Country,Author/s,Abstract,Volume,Issue Number,Start Page,End Page,Fields of Study,Keywords,MeSH Terms,Chemicals,Funding,Source URLs,External URL,PMID,DOI,Microsoft Academic ID,PMCID,Citing Patents Count,References,Citing Works Count,Is Open Access,Open Access License,Open Access Colour
000-010-840-956-873,Rigorous Methods for Software Construction and Analysis - Using abstract state machines for the design of multi-level transaction schedulers,,2009,book,Lecture Notes in Computer Science,03029743; 16113349,Springer Berlin Heidelberg,Germany,Markus Kirchberg; Klaus-Dieter Schewe; Jane Zhao,"Multi-level transactions have been suggested as an approach to increase transaction throughput in databases. The central idea is to enable some low-level conflicts to be ignored by taking higher-level application semantics into account. In this paper, we approach the formal specification of a multi-level transaction scheduler using Abstract State Machines. We are particularly interested in showing that concrete protocols for multi-level transaction processing arise as refinements of an abstract ground model specification. Furthermore, we are interested in the proof of desirable properties of such schedulers such as the correctness and if possible also completeness with respect to serialisability, and the recoverability of the accepted schedules. For this we investigate a two-phase locking and a hybrid protocol.",,,65,77,Transaction processing system; Formal specification; Distributed computing; Abstract state machines; Online transaction processing; Distributed transaction; Computer science; Correctness; Transaction processing; Database transaction,,,,,https://rd.springer.com/chapter/10.1007/978-3-642-11447-2_5 https://link.springer.com/10.1007/978-3-642-11447-2_5 https://dblp.uni-trier.de/db/conf/birthday/borger2009.html#KirchbergSZ09 https://link.springer.com/chapter/10.1007%2F978-3-642-11447-2_5,http://dx.doi.org/10.1007/978-3-642-11447-2_5,,10.1007/978-3-642-11447-2_5,2170807566,,0,003-535-885-310-778; 006-675-327-793-692; 018-408-105-437-771; 022-955-585-690-019; 026-337-841-416-236; 039-762-238-191-318; 050-309-871-652-59X; 071-992-274-828-236; 078-075-549-814-324; 080-491-897-850-043; 082-391-519-387-578; 088-396-922-427-366; 094-914-877-452-152; 095-581-760-613-083; 097-847-188-441-943; 102-549-976-383-880; 104-030-181-011-305; 106-139-011-778-302; 133-684-460-780-726; 149-813-897-619-176; 185-668-391-346-964; 196-155-916-210-177,4,false,,
000-100-066-554-216,"S-BPM in the Wild, Practical Value Creation - An Abstract State Machine Interpreter for S-BPM",2015-05-28,2015,book,S-BPM in the Wild,,Springer International Publishing,,Harald Lerchner,"Each business process management (BPM) approach requires a precise semantic specification scheme. Semantically, ambiguities can cause a lot of problems during the lifespan of a business process. As Abstract State Machines (ASMs) are grounded to subject orientation, we have explored their capabilities with respect to representing and executing Subject-oriented BPM (S-BPM) models. Based on the ASM method we implemented an interpreter which allows not only the proof of the S-BPM concept in terms of semantical preciseness, but also the automated execution of S-BPM models in terms of a workflow engine. This workflow engine serves as a baseline and reference implementation for further language and processing developments, such as simulation tools, as it has been developed within the Open-S-BPM initiative. This contribution focuses more on the use of the technique than on formal definitions.",,,219,233,Interpreter; Abstract state machines; Workflow engine; Programming language; Scheme (programming language); Selection rule; Computer science; Reference implementation; Business process management; Business process,,,,,https://link.springer.com/content/pdf/10.1007%2F978-3-319-17542-3_13.pdf https://rd.springer.com/chapter/10.1007/978-3-319-17542-3_13 https://core.ac.uk/display/81736281 https://link.springer.com/chapter/10.1007/978-3-319-17542-3_13 https://dblp.uni-trier.de/db/books/collections/FSS2015.html#Lerchner15,http://dx.doi.org/10.1007/978-3-319-17542-3_13,,10.1007/978-3-319-17542-3_13,605745890,,0,005-481-542-380-901; 022-955-585-690-019; 024-833-334-253-014; 030-266-627-017-428; 050-309-871-652-59X; 051-207-280-802-006; 056-367-549-228-583; 060-150-476-329-486; 060-776-050-843-781; 077-628-111-262-511; 100-638-520-723-965; 106-871-695-200-890; 107-077-171-963-473; 147-019-981-692-623; 189-521-689-083-502,3,true,cc-by-nc,hybrid
000-116-734-591-79X,iThings/GreenCom/CPSCom/SmartData - The Timed Abstract State Machine Based Test Requirement Auto Generation for Embedded Systems,,2016,conference proceedings article,"2016 IEEE International Conference on Internet of Things (iThings) and IEEE Green Computing and Communications (GreenCom) and IEEE Cyber, Physical and Social Computing (CPSCom) and IEEE Smart Data (SmartData)",,IEEE,,Ruan Chenglin; Wang Jinbo,"In this paper, we propose an approach for test requirement auto generation. The approach is based on a formal requirement specification modeled in the Timed Abstract State Machine language and several coverage criteria are introduced for the generation. We develop a tool on the basis of this approach and experiment on a project. And the analysis of the experimental results proves the effectiveness of this approach.",,,334,339,Software engineering; Formal specification; Basis (linear algebra); Abstract state machines; Test (assessment); Software testing; Computer science; Real-time computing,,,,,https://doi.org/10.1109/iThings-GreenCom-CPSCom-SmartData.2016.80 https://ieeexplore.ieee.org/document/7917108/ http://dblp.uni-trier.de/db/conf/ithings/ithings2016.html#ChenglinJ16 https://dblp.uni-trier.de/db/conf/ithings/ithings2016.html#ChenglinJ16,http://dx.doi.org/10.1109/ithings-greencom-cpscom-smartdata.2016.80,,10.1109/ithings-greencom-cpscom-smartdata.2016.80,2610164625,,0,001-585-940-349-900; 005-283-314-519-468; 017-084-221-480-414; 021-003-498-716-896; 027-253-368-926-094; 038-117-969-210-289; 040-085-593-797-63X; 046-000-428-907-578; 051-095-621-315-932; 051-973-415-768-873; 063-878-383-053-020; 083-083-948-326-126; 090-222-493-659-717; 094-509-712-214-931; 114-614-438-068-377; 115-787-295-968-707; 131-681-550-300-312; 135-952-816-062-014; 137-398-349-433-046; 139-573-023-308-243; 181-929-728-597-433,0,false,,
000-321-695-806-171,RAM Simulation of BGS Model of Abstract-state Machines,,2007,journal article,Fundamenta Informaticae,01692968,IOS Press,Netherlands,null SeshadhriComandur; null SethAnil; null BiswasSomenath,We show in this paper that the BGS model of abstract state machines can be simulated by random access machines with at most a polynomial time overhead. This result is already stated in [5] with a v...,,,,,Overhead (computing); Random access; Abstract state machines; Parallel computing; Time complexity; Computer science,,,,,https://dl.acm.org/doi/10.5555/1365972.1365979,https://dl.acm.org/doi/10.5555/1365972.1365979,,,3010836520,,0,,0,false,,
000-427-107-788-225,Abstract State Machines - On the Formal Semantics of SDL-2000: A Compilation Approach Based on an Abstract SDL Machine,,2000,journal article,Lecture Notes in Computer Science,03029743; 16113349,Springer Berlin Heidelberg,Germany,Robert Eschbach; Uwe Glässer; Reinhard Gotzhein; Andreas Prinz,"In November 1999, a new version of SDL (Specification and Description Language) called SDL-2000 has passed ITU, an international standardization body for telecommunication. SDL is a fairly complex, graphical formal description technique for the development of distributed systems, and has been broadly used in industry for many years. Efforts to define the semantics of SDL-2000 formally have started early in 1998. By now, a draft formal semantics is available, which is determined to become the official formal SDL semantics after its approval in 2000. It is based on the formalism of Abstract State Machines (ASMs), which has been selected for several reasons including intelligibility and executability.; ; The formal semantics of SDL addresses the static semantics, transformation rules, and the dynamic semantics. The approach taken to define the dynamic semantics is particularly interesting. Although basically being operational, it differs from existing approaches in several ways. In this paper, we address and highlight some of these differences, using a simplified specification language called SSL instead of SDL. In defining a formal dynamic semantics for SSL, we formally describe an abstract machine, a compilation function mapping SSL specifications to code of this machine, and an operational definition of the set of initial states, using ASM as the underlying formalism. Furthermore, we present in some detail the semantics of SSL procedure calls.",,,242,265,Abstract syntax; Semantics; Abstract state machines; Formal semantics (linguistics); Action semantics; Operational semantics; Programming language; Computational semantics; Specification language; Denotational semantics; Specification and Description Language; Concrete syntax; Computer science; Failure semantics; Semantics of logic; Abstract machine; Well-founded semantics,,,,,https://link.springer.com/chapter/10.1007%2F3-540-44518-8_14 https://link.springer.com/content/pdf/10.1007%2F3-540-44518-8_14.pdf https://dblp.uni-trier.de/db/conf/asm/asm2000.html#EschbachGGP00 https://rd.springer.com/chapter/10.1007/3-540-44518-8_14,http://dx.doi.org/10.1007/3-540-44518-8_14,,10.1007/3-540-44518-8_14,1555618383,,0,000-427-107-788-225; 000-490-410-327-490; 003-338-696-404-449; 030-266-627-017-428; 036-243-510-363-569; 048-760-252-034-316; 055-995-372-610-402; 067-209-706-756-159; 083-972-922-498-894; 085-253-436-921-134; 088-012-407-050-722; 094-321-717-945-915; 105-620-622-527-144; 108-883-028-829-629; 112-323-824-635-381; 130-690-190-715-810; 131-207-717-577-017; 181-635-026-892-151,25,false,,
000-507-991-296-968,Using abstract state machines in modeling biological systems,,2008,,,,,,null Gervasi; D. Mazzei,,,,79,80,Control engineering; Abstract state machines; Computer science,,,,,https://arpi.unipi.it/handle/11568/124735,https://arpi.unipi.it/handle/11568/124735,,,2614998170,,0,,2,false,,
000-655-289-620-443,Abstract State Machines - An Approach to Model Checking AsmL Specifications.,,2005,book,,,,,Martin Kardos,,,,289,304,Model checking; Programming language; Computer science,,,,,https://dblp.uni-trier.de/db/conf/asm/asm2005.html#Kardos05 http://dblp.uni-trier.de/db/conf/asm/asm2005.html#Kardos05,https://dblp.uni-trier.de/db/conf/asm/asm2005.html#Kardos05,,,133334103,,0,,11,false,,
000-746-036-554-760,Abstract State Machines - A Modular Design for the Common Language Runtime (CLR) Architecture.,,2005,book,,,,,Nicu G. Fruja,"This paper provides a modular high-level design of the Common Language Runtime (CLR) architecture. Our design is given in terms of Abstract State Machines (ASMs) and takes the form of an interpreter. We describe the CLR as a hierarchy of eight submachines, which correspond to eight submodules into which the Common Intermediate Language (CIL) instruction set can be decomposed.",,,175,200,Modular design; Common Language Runtime; Computer architecture; Interpreter; Architecture; Abstract state machines; Programming language; Instruction set; Hierarchy (mathematics); Common Intermediate Language; Computer science,,,,,https://dblp.uni-trier.de/db/conf/asm/asm2005.html#Fruja05 http://dblp.uni-trier.de/db/conf/asm/asm2005.html#Fruja05,https://dblp.uni-trier.de/db/conf/asm/asm2005.html#Fruja05,,,2593110064,,0,027-765-297-864-912; 034-587-070-127-031; 090-890-481-061-500; 103-929-422-524-857; 156-429-917-105-285; 189-030-223-266-116; 189-521-689-083-502; 195-635-564-405-355,0,false,,
000-861-549-813-223,DEXA Workshops - Transition between Different Abstraction Levels in an Abstract State Machine (ASM) Ground Model,,2013,conference proceedings article,2013 24th International Workshop on Database and Expert Systems Applications,,IEEE,,Jan Kubovy; Dagmar Auer; Josef Küng; Mariam Rady,"Using Abstract State Machines (ASMs) we can specify a service or piece of software formally for the purpose of future implementation. During the development life-cycle the related specification evolves. Abstract functions and rules are defined, new functions and rules are introduced and arbitrary data structures are instantiated with the specification being refined towards implementation. Two main abstraction levels are introduced in this paper to show a possible classification of abstraction levels of a formal specification. Furthermore, the basic differences and basic transition guidelines between those levels are discussed. A small example of the proposed two main abstraction levels is shown on a high-level specification of a potential transition machine to outline the intended transition process, typical appearance of abstraction level stages and refinement patterns.",,,227,230,Algorithm; Formal specification; Refinement; Abstract state machines; Abstraction layer; Finite-state machine; Programming language; Software; Computer science; Abstraction (linguistics); Formal methods; Language Of Temporal Ordering Specification; Refinement calculus,,,,,https://ieeexplore.ieee.org/document/6621376/ http://ieeexplore.ieee.org/document/6621376/ https://dblp.uni-trier.de/db/conf/dexaw/dexaw2013.html#KubovyAKR13,http://dx.doi.org/10.1109/dexa.2013.29,,10.1109/dexa.2013.29,2002528691,,0,008-021-754-708-595; 041-863-663-936-741; 097-847-188-441-943; 100-505-478-276-305; 101-704-045-813-337; 139-330-264-873-706; 189-521-689-083-502,0,false,,
001-411-578-378-53X,RAM Simulation of BGS Model of Abstract-state Machines,,2007,journal article,Fundamenta Informaticae,01692968,IOS Press,Netherlands,C. Seshadhri; Anil Seth; Somenath Biswas,"We show in this paper that the BGS model of abstract state machines can be simulated by random access machines with at most a polynomial time overhead. This result is already stated in [5] with a very brief proof sketch. The present paper gives a detailed proof of the result. We represent hereditarily finite sets, which are the typical BGS ASM objects, by membership graphs of the transitive closure of the sets. Testing for equality between BGS objects can be done in linear time in our representation.",77,1,175,185,Overhead (computing); Random access; Algorithm; Transitive closure; Hereditarily finite set; Abstract state machines; Sketch; Time complexity; Mathematics; Representation (mathematics); Theoretical computer science,,,,,https://content.iospress.com/articles/fundamenta-informaticae/fi77-1-2-07 http://www.cse.iitk.ac.in/users/sb/papers/asm2ram.pdf https://www.cse.iitk.ac.in/users/sb/papers/asm2ram.pdf http://yadda.icm.edu.pl/yadda/element/bwmeta1.element.baztech-article-BUS5-0010-0006 https://dblp.uni-trier.de/db/journals/fuin/fuin77.html#ComandurSB07 https://www.cs.princeton.edu/~csesha/pubs/asm.pdf,https://content.iospress.com/articles/fundamenta-informaticae/fi77-1-2-07,,,1782963205,,0,016-347-557-587-544; 038-807-701-463-486; 068-257-256-309-994; 147-019-981-692-623; 153-239-058-339-73X,1,false,,
